,基金代码,基金简称,类型,2020-10-22-单位净值,2020-10-22-累计净值,2020-10-22-单位净值,2020-10-22-累计净值,增长值,增长率,市价,折价率
269,510710,博时上证50ETF行情,ETF-场内,---,---,4.0122,1.2403,---,---,4.0030,---
270,512280,景顺MSCI中国A股ETF行情,ETF-场内,---,---,1.4221,1.4221,---,---,1.4150,---
271,513900,华安CES港股通ETF行情,ETF-场内,---,---,1.0195,1.0195,---,---,1.0170,---
272,159949,华安创业板50ETF行情,ETF-场内,---,---,1.0970,1.0970,---,---,1.0850,---
273,150244,鹏华创业板分级B行情,分级杠杆,---,---,1.3350,0.1430,---,---,1.3250,---
274,150308,富国中证体育产业指数分级B行情,分级杠杆,---,---,1.2480,0.1230,---,---,1.9960,---
275,159956,建信创业板ETF行情,ETF-场内,---,---,1.5660,1.5660,---,---,1.5590,---
276,512390,平安MSCI中国A股ETF行情,ETF-场内,---,---,1.3808,1.3808,---,---,1.3770,---
277,510600,申万菱信上证50ETF行情,ETF-场内,---,---,3.7300,1.5198,---,---,3.7210,---
278,510170,国联安上证商品ETF行情,ETF-场内,---,---,2.1640,0.6710,---,---,2.1500,---
279,150271,招商国证生物医药指数分级A行情,固定收益,---,---,1.0127,1.2477,---,---,0.9880,---
280,502038,大成中证互联网金融指数分级B行情,分级杠杆,---,---,1.0273,---,---,---,1.0260,---
281,512000,华宝券商ETF行情,ETF-场内,---,---,1.1710,1.1710,---,---,1.1780,---
282,512200,南方中证房地产ETF行情,ETF-场内,---,---,0.9185,0.9185,---,---,0.9180,---
283,159944,广发中证全指原材料ETF行情,ETF-场内,---,---,0.8946,0.8946,---,---,0.8900,---
284,150284,申万菱信申万医药生物分级B行情,分级杠杆,---,---,1.0451,---,---,---,1.0790,---
285,511260,国泰上证10年期国债ETF行情,ETF-场内,---,---,109.9460,1.0990,---,---,110.0160,---
286,510580,易方达中证500ETF行情,ETF-场内,---,---,6.9296,1.0678,---,---,6.8970,---
287,159953,广发中证全指工业ETF行情,ETF-场内,---,---,0.9531,0.9531,---,---,1.0090,---
288,512560,易方达中证军工ETF行情,ETF-场内,---,---,1.2004,1.2004,---,---,1.1880,---
289,150329,方正富邦保险主题指数分级A行情,固定收益,---,---,1.0080,1.2570,---,---,0.9830,---
290,512500,华夏中证500ETF行情,ETF-场内,---,---,3.2530,0.7121,---,---,3.2380,---
291,512680,广发中证军工ETF行情,ETF-场内,---,---,1.1089,1.1089,---,---,1.0970,---
292,150322,富国中证煤炭指数分级B行情,分级杠杆,---,---,0.8830,0.1490,---,---,0.8980,---
293,502015,长盛中证申万一带一路分级B行情,分级杠杆,---,---,1.5310,---,---,---,1.5400,---
294,150259,易方达重组分级A行情,固定收益,---,---,1.0174,---,---,---,0.9930,---
295,150281,长盛中证金融地产指数分级A行情,固定收益,---,---,1.0450,---,---,---,1.0170,---
296,150231,申万菱信申万电子分级A行情,固定收益,---,---,1.0195,---,---,---,1.0060,---
297,150249,招商中证银行指数分级A行情,固定收益,---,---,1.0382,1.2487,---,---,1.0370,---
298,150251,招商中证煤炭等权指数分级A行情,固定收益,---,---,1.0382,1.2487,---,---,1.0200,---
299,150282,长盛中证金融地产指数分级B行情,分级杠杆,---,---,0.9850,---,---,---,1.0040,---
300,150248,工银中证传媒指数分级B行情,分级杠杆,---,---,1.2165,0.0161,---,---,1.2040,---
301,502004,易方达军工分级A行情,固定收益,---,---,1.0131,---,---,---,0.9890,---
302,502005,易方达军工分级B行情,分级杠杆,---,---,1.4343,---,---,---,1.4390,---
303,502011,易方达证券公司分级A行情,固定收益,---,---,1.0131,---,---,---,0.9870,---
304,502012,易方达证券公司分级B行情,分级杠杆,---,---,1.6955,---,---,---,1.7120,---
305,150303,华安创业板50指数分级A行情,固定收益,---,---,1.0469,1.3401,---,---,1.0250,---
306,150304,华安创业板50指数分级B行情,分级杠杆,---,---,1.6421,0.0289,---,---,1.6250,---
307,150309,信诚中证信息安全指数分级A行情,固定收益,---,---,1.0310,1.2430,---,---,1.0010,---
308,150310,信诚中证信息安全指数分级B行情,分级杠杆,---,---,0.9650,0.1070,---,---,1.3790,---
309,150311,信诚中证智能家居指数分级A行情,固定收益,---,---,1.0300,1.2420,---,---,1.0060,---
310,150312,信诚中证智能家居指数分级B行情,分级杠杆,---,---,0.9420,0.1070,---,---,0.9380,---
311,502041,长盛上证50指数分级A行情,固定收益,---,---,1.0450,---,---,---,1.0220,---
312,502055,长盛中证证券公司分级B行情,分级杠杆,---,---,1.1710,---,---,---,1.2680,---
313,512900,南方中证全指证券公司ETF行情,ETF-场内,---,---,1.2116,1.2116,---,---,1.2220,---
314,150298,南方中证互联网指数分级B行情,分级杠杆,---,---,0.9636,---,---,---,1.0540,---
315,512330,南方中证500信息技术ETF行情,ETF-场内,---,---,1.1398,1.1398,---,---,1.1380,---
316,150326,工银中证高铁产业指数分级B行情,分级杠杆,---,---,0.7616,0.0380,---,---,1.0000,---
317,150230,鹏华酒分级B行情,分级杠杆,---,---,1.4660,2.0190,---,---,1.5000,---
318,512550,嘉实富时中国A50ETF行情,ETF-场内,---,---,1.5894,1.5894,---,---,1.5850,---
319,150289,中融中证煤炭指数分级A行情,固定收益,---,---,1.0470,1.2960,---,---,1.0220,---
320,502014,长盛中证申万一带一路分级A行情,固定收益,---,---,1.0450,---,---,---,1.0170,---
321,150301,华安中证全指证券公司分级A行情,固定收益,---,---,1.0469,1.3402,---,---,1.0250,---
322,150246,鹏华互联网分级B行情,分级杠杆,---,---,0.8930,0.4160,---,---,0.9240,---
323,150317,交银中证互联网金融指数分级A行情,固定收益,---,---,1.0440,1.2950,---,---,1.0280,---
324,512570,易方达中证全指证券公司ETF行情,ETF-场内,---,---,1.1795,1.1795,---,---,1.1820,---
325,159957,华夏创业板ETF行情,ETF-场内,---,---,1.6338,1.6338,---,---,1.6160,---
326,510800,建信上证50ETF行情,ETF-场内,---,---,1.3601,1.3601,---,---,1.3590,---
327,159941,广发纳斯达克100ETF行情,QDII-ETF,---,---,---,---,---,---,2.5300,---
328,150297,南方中证互联网指数分级A行情,固定收益,---,---,1.0360,---,---,---,1.0090,---
329,150274,鹏华一带一路分级B行情,分级杠杆,---,---,1.5520,0.1150,---,---,1.5190,---
330,150258,易方达生物分级B行情,分级杠杆,---,---,0.9776,---,---,---,1.2370,---
331,150294,南方中证高铁产业指数分级B行情,分级杠杆,---,---,0.3100,---,---,---,0.4420,---
332,150315,富国中证工业4.0指数分级A行情,固定收益,---,---,1.0120,1.2430,---,---,0.9870,---
333,502008,易方达国企改革指数分级B行情,分级杠杆,---,---,1.6828,---,---,---,1.6590,---
334,150343,融通证券分级A行情,固定收益,---,---,1.0470,1.3210,---,---,1.0270,---
335,512160,南方MSCI中国A股国际通ETF行情,ETF-场内,---,---,1.5298,1.5298,---,---,1.5230,---
336,510590,平安中证500ETF行情,ETF-场内,---,---,6.7685,1.1294,---,---,6.7400,---
337,512520,华泰MSCI中国A股国际通ETF行情,ETF-场内,---,---,1.5296,1.5296,---,---,1.5190,---
338,511280,华夏3-5年信用债ETF行情,ETF-场内,---,---,109.6822,1.0968,---,---,105.3920,---
339,512090,易方达MSCI中国A股ETF行情,ETF-场内,---,---,1.5334,1.5334,---,---,1.5270,---
340,150269,招商中证白酒指数分级A行情,固定收益,---,---,1.0069,1.2477,---,---,0.9820,---
341,150277,鹏华高铁分级A行情,固定收益,---,---,1.0060,1.2500,---,---,0.9850,---
342,150293,南方中证高铁产业指数分级A行情,固定收益,---,---,1.0488,---,---,---,1.0240,---
343,159943,大成深证成份ETF行情,ETF-场内,---,---,14.9700,0.9830,---,---,14.8000,---
344,159958,工银瑞信创业板ETF行情,ETF-场内,---,---,1.5702,1.5702,---,---,1.5540,---
345,512980,广发中证传媒ETF行情,ETF-场内,---,---,0.9689,0.9689,---,---,0.9560,---
346,510380,国寿安保沪深300ETF行情,ETF-场内,---,---,1.2515,1.2515,---,---,1.2420,---
347,159952,广发创业板ETF行情,ETF-场内,---,---,1.5694,1.5694,---,---,1.5540,---
348,512510,华泰柏瑞中证500ETF行情,ETF-场内,---,---,1.5037,0.7595,---,---,1.4960,---
349,150344,融通证券分级B行情,分级杠杆,---,---,1.5090,0.2060,---,---,1.5000,---
350,150330,方正富邦保险主题指数分级B行情,分级杠杆,---,---,1.0480,2.1190,---,---,1.0450,---
351,502054,长盛中证证券公司分级A行情,固定收益,---,---,1.0450,---,---,---,1.0180,---
352,159968,博时中证500ETF行情,ETF-场内,---,---,6.6430,1.3095,---,---,6.6120,---
353,515060,华夏中证全指房地产ETF行情,ETF-场内,---,---,1.0395,1.0395,---,---,1.0380,---
354,159807,易方达中证科技50ETF行情,ETF-场内,---,---,1.4335,1.4335,---,---,1.4230,---
355,159998,天弘中证计算机ETF行情,ETF-场内,---,---,1.1362,1.1362,---,---,1.1340,---
356,510760,国泰上证综合交易ETF行情,ETF-场内,---,---,0.9743,0.9743,---,---,0.9720,---
357,515100,景顺长城红利低波动100ETF行情,ETF-场内,---,---,1.1823,1.1823,---,---,1.1800,---
358,515650,富国中证消费50ETF行情,ETF-场内,---,---,1.4571,1.4571,---,---,1.4610,---
359,512970,平安粤港澳大湾区ETF行情,ETF-场内,---,---,1.3796,1.3796,---,---,1.3750,---
360,515750,富国中证科技50策略ETF行情,ETF-场内,---,---,1.4491,1.4491,---,---,1.4410,---
361,159983,华夏粤港澳大湾区创新100ETF行情,ETF-场内,---,---,1.3151,1.3151,---,---,1.3090,---
362,159984,南方粤港澳大湾区ETF行情,ETF-场内,---,---,1.2704,1.2704,---,---,1.2670,---
363,159976,工银粤港澳大湾区创新100ETF行情,ETF-场内,---,---,1.2602,1.2602,---,---,1.2580,---
364,159981,建信易盛能源化工期货ETF行情,ETF-场内,---,---,0.8857,0.8857,---,---,0.8770,---
365,159966,华夏创蓝筹ETF行情,ETF-场内,---,---,1.8653,1.8653,---,---,1.8510,---
366,159967,华夏创成长ETF行情,ETF-场内,---,---,2.0008,2.0008,---,---,1.9770,---
367,515580,华泰柏瑞中证科技100ETF行情,ETF-场内,---,---,1.5396,1.5396,---,---,1.5250,---
368,159965,中融央视财经50ETF行情,ETF-场内,---,---,1.4007,1.4007,---,---,1.3970,---
369,515150,富国中证国企一带一路ETF行情,ETF-场内,---,---,1.0580,1.0580,---,---,1.0530,---
370,159804,国寿安保创精选88ETF行情,ETF-场内,---,---,1.2580,1.2580,---,---,1.2590,---
371,159990,银华巨潮小盘价值ETF行情,ETF-场内,---,---,1.1245,1.1245,---,---,1.1150,---
372,515450,南方中国A股大盘红利低波50ETF行情,ETF-场内,---,---,1.0695,1.0695,---,---,1.0660,---
373,515500,海富通中证长三角领先ETF行情,ETF-场内,---,---,0.9960,0.9960,---,---,0.9900,---
374,515260,华宝中证电子50ETF行情,ETF-场内,---,---,0.9629,0.9629,---,---,0.9640,---
375,515700,平安中证新能源汽车产业ETF行情,ETF-场内,---,---,1.4783,1.4783,---,---,1.4920,---
376,159820,天弘中证500ETF行情,ETF-场内,---,---,0.9643,0.9643,---,---,0.9590,---
377,512720,国泰中证计算机ETF行情,ETF-场内,---,---,1.4650,1.4650,---,---,1.4590,---
378,515000,华宝中证科技龙头ETF行情,ETF-场内,---,---,1.7003,1.7003,---,---,1.6940,---
379,510350,工银瑞信沪深300ETF行情,ETF-场内,---,---,4.8241,1.2652,---,---,4.8090,---
380,512730,鹏华中证银行ETF行情,ETF-场内,---,---,1.0635,1.0635,---,---,1.0620,---
381,515350,民生加银沪深300ETF行情,ETF-场内,---,---,5.1612,1.2830,---,---,5.1390,---
382,159997,天弘中证电子ETF行情,ETF-场内,---,---,1.1853,1.1853,---,---,1.1840,---
383,159806,国泰中证新能源汽车ETF行情,ETF-场内,---,---,1.5070,1.5070,---,---,1.5230,---
384,159979,广发粤港澳大湾区创新100ETF行情,ETF-场内,---,---,1.2176,1.2176,---,---,1.2130,---
385,515550,中融中证500ETF行情,ETF-场内,---,---,1.2862,1.2862,---,---,1.3080,---
386,515310,添富沪深300ETF行情,ETF-场内,---,---,1.2254,1.2254,---,---,1.2170,---
387,159996,国泰中证全指家电ETF行情,ETF-场内,---,---,1.2756,1.2756,---,---,1.2700,---
388,510100,易方达上证50ETF行情,ETF-场内,---,---,1.2857,1.2857,---,---,1.2840,---
389,159814,西部利得创业板大盘ETF行情,ETF-场内,---,---,1.0553,1.0553,---,---,1.0420,---
390,515830,工银瑞信中证800ETF行情,ETF-场内,---,---,5.0788,1.0150,---,---,5.0450,---
391,515560,建信中证全指证券公司ETF行情,ETF-场内,---,---,1.0811,1.0811,---,---,1.0890,---
392,515950,富国中证医药50ETF行情,ETF-场内,---,---,1.5686,1.5686,---,---,1.5460,---
393,515190,中银证券中证500ETF行情,ETF-场内,---,---,1.2518,1.2518,---,---,1.2330,---
394,513080,华安法国CAC40ETF(QDII)行情,QDII-ETF,---,---,---,---,---,---,0.9800,---
395,515810,易方达中证800ETF行情,ETF-场内,---,---,1.3230,1.3230,---,---,1.3210,---
396,159972,鹏华中证5年地债ETF行情,ETF-场内,---,---,103.3288,1.0355,---,---,103.0890,---
397,513090,易方达中证香港证券投资ETF行情,ETF-场内,---,---,1.2063,1.2063,---,---,1.2040,---
398,515890,博时红利ETF行情,ETF-场内,---,---,1.1985,1.1985,---,---,1.1880,---
399,515210,国泰中证钢铁ETF行情,ETF-场内,---,---,1.1762,1.1762,---,---,1.1740,---
400,515220,国泰中证煤炭ETF行情,ETF-场内,---,---,1.1495,1.1495,---,---,1.1450,---
401,515160,招商MSCI中国A股国际通ETF行情,ETF-场内,---,---,1.3351,1.3351,---,---,1.3280,---
402,515900,博时央企创新驱动ETF行情,ETF-场内,---,---,0.9686,0.9686,---,---,0.9630,---
403,515600,广发央企创新ETF行情,ETF-场内,---,---,0.9544,0.9544,---,---,0.9490,---
404,515680,嘉实中证央企创新驱动ETF行情,ETF-场内,---,---,0.9730,0.9730,---,---,0.9700,---
405,159974,富国央企创新ETF行情,ETF-场内,---,---,0.9924,0.9924,---,---,0.9840,---
406,159813,鹏华国证半导体芯片ETF行情,ETF-场内,---,---,1.0483,1.0483,---,---,1.0470,---
407,159810,浦银安盛创业板ETF行情,ETF-场内,---,---,1.0540,1.0540,---,---,1.0410,---
408,515630,鹏华中证800证保ETF行情,ETF-场内,---,---,1.3113,1.3113,---,---,1.3160,---
409,513520,华夏野村日经225ETF行情,QDII-ETF,---,---,1.1022,1.1022,---,---,1.1010,---
410,513800,南方顶峰TOPIX-ETF行情,QDII-ETF,---,---,1.0708,1.0708,---,---,1.0770,---
411,513000,易方达日经225ETF行情,QDII-ETF,---,---,1.1071,1.1071,---,---,1.1070,---
412,513880,华安日经225ETF行情,QDII-ETF,---,---,1.0734,1.0734,---,---,1.0690,---
413,515080,招商中证红利ETF行情,ETF-场内,---,---,1.2605,1.2605,---,---,1.2510,---
414,515130,博时沪深300ETF行情,ETF-场内,---,---,1.3180,1.3180,---,---,1.3150,---
415,159803,易方达中证浙江新动能ETF(QDII)行情,QDII-ETF,---,---,---,---,---,---,1.2210,---
416,515760,华夏中证浙江国资创新发展ETF行情,ETF-场内,---,---,1.0200,1.0200,---,---,1.0160,---
417,510890,兴业上证红利低波动ETF行情,ETF-场内,---,---,1.0796,1.0796,---,---,1.0800,---
418,512670,鹏华中证国防ETF行情,ETF-场内,---,---,1.6359,1.6359,---,---,1.6150,---
419,515020,华夏中证银行ETF行情,ETF-场内,---,---,1.0887,1.0887,---,---,1.0870,---
420,512750,嘉实中证锐联基本面ETF行情,ETF-场内,---,---,1.0961,1.0961,---,---,1.0940,---
421,515200,申万菱信中证研发创新100ETF行情,ETF-场内,---,---,1.6368,1.6368,---,---,1.6280,---
422,518680,富国上海金ETF行情,ETF-场内,---,---,4.0291,1.0060,---,---,4.0250,---
423,512910,广发中证100ETF行情,ETF-场内,---,---,1.3627,1.3627,---,---,1.3630,---
424,512350,兴业中证福建50ETF行情,ETF-场内,---,---,1.0039,1.0039,---,---,1.0000,---
425,515980,华富中证人工智能产业ETF行情,ETF-场内,---,---,1.1457,1.1457,---,---,1.1430,---
426,515330,天弘沪深300ETF行情,ETF-场内,---,---,1.2347,1.2347,---,---,1.2310,---
427,510690,兴业上证180金融ETF行情,ETF-场内,---,---,1.1635,1.1635,---,---,1.1570,---
428,511380,博时可转债ETF行情,ETF-场内,---,---,10.3248,1.0325,---,---,10.3240,---
429,515620,建信中证800ETF行情,ETF-场内,---,---,1.2208,1.2208,---,---,1.2130,---
430,515180,易方达中证红利ETF行情,ETF-场内,---,---,1.1503,1.1503,---,---,1.1430,---
431,159975,招商深证100ETF行情,ETF-场内,---,---,6.4097,1.4646,---,---,6.3760,---
432,159986,弘毅远方国证消费100ETF行情,ETF-场内,---,---,1.3885,1.3885,---,---,1.3830,---
433,515590,前海开源中证500等权ETF行情,ETF-场内,---,---,1.3573,1.3573,---,---,1.3430,---
434,515380,泰康沪深300ETF行情,ETF-场内,---,---,4.8933,1.1920,---,---,4.8750,---
435,150207,招商沪深300地产等权重分级A行情,固定收益,---,---,1.0131,1.2790,---,---,0.9890,---
436,159992,银华中证创新药产业ETF行情,ETF-场内,---,---,1.3736,1.3736,---,---,1.3490,---
437,159978,建信中证沪港深粤港澳大湾区发展主题ETF行情,ETF-场内,---,---,1.2274,1.2274,---,---,1.2250,---
438,515280,富国中证银行ETF行情,ETF-场内,---,---,1.1554,1.1554,---,---,1.1510,---
439,510200,汇安上证证券ETF行情,ETF-场内,---,---,1.3024,1.3024,---,---,1.3140,---
440,515930,永赢沪深300ETF行情,ETF-场内,---,---,5.2026,1.3541,---,---,5.1910,---
441,515990,添富中证国企一带一路ETF行情,ETF-场内,---,---,1.0927,1.0927,---,---,1.0710,---
442,515110,易方达中证国企一带一路ETF行情,ETF-场内,---,---,1.0487,1.0487,---,---,1.0460,---
443,159811,博时中证5G产业50ETF行情,ETF-场内,---,---,1.1664,1.1664,---,---,1.1620,---
444,159809,博时大湾区ETF行情,ETF-场内,---,---,1.1638,1.1638,---,---,1.1650,---
445,512530,建信沪深300红利ETF行情,ETF-场内,---,---,1.1395,1.1395,---,---,1.1330,---
446,159985,华夏饲料豆粕期货ETF行情,ETF-场内,---,---,1.1516,1.1516,---,---,1.1450,---
447,515690,鹏华中证高股息龙头ETF行情,ETF-场内,---,---,1.2254,1.2254,---,---,1.2190,---
448,518850,华夏黄金ETF行情,ETF-场内,---,---,4.0291,1.0372,---,---,4.0230,---
449,518600,广发上海金ETF行情,ETF-场内,---,---,4.0310,0.9874,---,---,4.0260,---
450,512320,工银MSCI中国ETF行情,ETF-场内,---,---,1.0115,1.0115,---,---,1.0040,---
451,511180,海富通上证投资级可转债ETF行情,ETF-场内,---,---,10.0775,1.0078,---,---,10.0720,---
452,159816,鹏华0-4年地方政府债ETF行情,ETF-场内,---,---,99.8533,0.9985,---,---,99.5280,---
453,159808,融通创业板ETF行情,ETF-场内,---,---,1.0124,1.0124,---,---,1.0020,---
454,515850,富国中证全指证券公司ETF行情,ETF-场内,---,---,1.3664,1.3664,---,---,1.3740,---
455,515960,嘉实医药健康100ETF行情,ETF-场内,---,---,1.3405,1.3405,---,---,1.3220,---
456,512180,建信MSCI中国A股国际通ETF行情,ETF-场内,---,---,1.3837,1.3837,---,---,1.3780,---
457,159999,永赢中证500ETF行情,ETF-场内,---,---,1.0063,1.0063,---,---,0.9990,---
458,510570,兴业中证500ETF行情,ETF-场内,---,---,0.9461,0.9461,---,---,0.9440,---
459,515860,嘉实新兴科技100ETF行情,ETF-场内,---,---,1.4556,1.4556,---,---,1.4430,---
460,159815,招商中证浙江100ETF行情,ETF-场内,---,---,0.9862,0.9862,---,---,0.9820,---
461,513990,招商上证港股通ETF行情,ETF-场内,---,---,0.9843,0.9843,---,---,0.9760,---
462,515610,中银中证800ETF行情,ETF-场内,---,---,1.0058,1.0058,---,---,0.9990,---
463,515870,嘉实先进制造100ETF行情,ETF-场内,---,---,1.2564,1.2564,---,---,1.2650,---
464,512930,平安人工智能ETF行情,ETF-场内,---,---,1.5401,1.5401,---,---,1.5320,---
465,511050,兴业上证1-5年期地方政府债ETF行情,ETF-场内,---,---,99.5981,0.9960,---,---,96.1850,---
466,515670,中银中证100ETF行情,ETF-场内,---,---,1.2395,1.2395,---,---,1.2400,---
467,159995,华夏国证半导体芯片ETF行情,ETF-场内,---,---,1.1342,1.1342,---,---,1.1340,---
468,159969,银华深证100ETF行情,ETF-场内,---,---,1.5203,1.5203,---,---,1.5110,---
469,515880,国泰中证全指通信设备ETF行情,ETF-场内,---,---,1.1383,1.1383,---,---,1.1340,---
470,515070,华夏中证人工智能主题ETF行情,ETF-场内,---,---,1.2472,1.2472,---,---,1.2430,---
471,515660,国联安沪深300ETF行情,ETF-场内,---,---,5.0526,1.3050,---,---,5.0360,---
472,159980,大成有色金属期货ETF行情,ETF-场内,---,---,1.0769,1.0769,---,---,1.0760,---
473,159971,富国创业板ETF行情,ETF-场内,---,---,1.8425,1.8425,---,---,1.8240,---
474,515090,博时可持续发展100ETF行情,ETF-场内,---,---,1.2193,1.2193,---,---,1.2200,---
475,159982,鹏华中证500ETF行情,ETF-场内,---,---,1.3128,1.3128,---,---,1.3070,---
476,515030,华夏中证新能源汽车ETF行情,ETF-场内,---,---,1.1861,1.1861,---,---,1.1980,---
477,515570,山西中证红利ETF行情,ETF-场内,---,---,1.2293,1.2293,---,---,1.2250,---
478,518890,中银上海金ETF行情,ETF-场内,---,---,4.0572,0.9763,---,---,4.0530,---
479,511060,海富通上证5年期ETF行情,ETF-场内,---,---,101.3816,1.0248,---,---,101.3140,---
480,159801,广发国证半导体芯片ETF行情,ETF-场内,---,---,1.1260,1.1260,---,---,1.1260,---
481,159993,鹏华国证证券龙头ETF行情,ETF-场内,---,---,1.2363,1.2363,---,---,1.2430,---
482,511360,海富通中证短融ETF行情,ETF-场内,---,---,100.4742,1.0047,---,---,100.4700,---
483,515300,嘉实沪深300红利低波动ETF行情,ETF-场内,---,---,1.0779,1.0779,---,---,1.0740,---
484,159987,银华中证研发创新100ETF行情,ETF-场内,---,---,1.4567,1.4567,---,---,1.4500,---
485,515520,大成MSCI中国A股质优价值100ETF行情,ETF-场内,---,---,1.3137,1.3137,---,---,1.3060,---
486,159973,弘毅远方民企领先100ETF行情,ETF-场内,---,---,1.6573,1.6573,---,---,1.6400,---
487,512710,富国中证军工龙头ETF行情,ETF-场内,---,---,1.4637,1.4637,---,---,1.4510,---
488,515800,添富中证800ETF行情,ETF-场内,---,---,1.2198,1.2198,---,---,1.2170,---
489,159991,招商创业板大盘ETF行情,ETF-场内,---,---,1.4494,1.4494,---,---,1.4320,---
490,515510,嘉实中证500成长估值ETF行情,ETF-场内,---,---,1.3462,1.3462,---,---,1.3280,---
491,512190,浙商之江凤凰ETF行情,ETF-场内,---,---,1.4130,1.4130,---,---,1.4100,---
492,510530,工银中证500ETF行情,ETF-场内,---,---,6.3696,1.2314,---,---,6.3440,---
493,159805,鹏华中证传媒ETF行情,ETF-场内,---,---,1.1874,1.1874,---,---,1.1720,---
494,159819,易方达中证人工智能主题ETF行情,ETF-场内,---,---,0.9840,0.9840,---,---,0.9810,---
495,518860,建信上海金ETF行情,ETF-场内,---,---,4.0332,0.9584,---,---,4.0210,---
496,510850,工银瑞信上证50ETF行情,ETF-场内,---,---,3.4558,1.4413,---,---,3.4550,---
497,512650,添富中证长三角ETF行情,ETF-场内,---,---,1.1818,1.1818,---,---,1.1760,---
498,515390,华安沪深300ETF行情,ETF-场内,---,---,1.1825,1.1825,---,---,1.1780,---
499,159970,工银瑞信深证100ETF行情,ETF-场内,---,---,6.0116,1.3158,---,---,5.9660,---
500,159977,天弘创业板ETF行情,ETF-场内,---,---,2.7098,1.5981,---,---,2.6830,---
501,515050,华夏中证5G通信主题ETF行情,ETF-场内,---,---,1.2210,1.2210,---,---,1.2170,---
502,150023,申万菱信深证成指分级进取行情,分级杠杆,---,---,0.3131,0.3131,---,---,0.3350,---
503,159994,银华中证5G通信主题ETF行情,ETF-场内,---,---,1.0115,1.0115,---,---,1.0080,---
504,159988,平安中债-0-5年地方债ETF行情,ETF-场内,---,---,0.9965,0.9965,---,---,0.9920,---
505,515780,浦银安盛MSCI中国A股ETF行情,ETF-场内,---,---,1.3348,1.3348,---,---,1.3290,---
506,515820,富国中证800ETF行情,ETF-场内,---,---,1.2169,1.2169,---,---,1.2100,---
507,518660,工银瑞信黄金ETF行情,ETF-场内,---,---,4.0258,1.0433,---,---,4.0230,---
508,159812,前海开源黄金ETF行情,ETF-场内,---,---,4.0251,1.0358,---,---,4.0200,---
509,515770,上投摩根MSCI中国A股ETF行情,ETF-场内,---,---,1.2232,1.2232,---,---,1.2170,---
510,515360,方正富邦沪深300ETF行情,ETF-场内,---,---,5.2555,1.2971,---,---,5.2520,---
511,515010,华夏中证全指证券公司ETF行情,ETF-场内,---,---,1.3202,1.3202,---,---,1.3280,---
512,159823,嘉实恒生中国企业ETF(QDII)行情,QDII-ETF,---,---,---,---,---,---,---,---
513,588090,华泰柏瑞上证科创板50成份ETF行情,ETF-场内,---,---,---,---,---,---,---,---
514,150167,银华沪深300指数分级A行情,固定收益,---,---,1.0440,---,---,---,---,---
515,588050,工银上证科创50成份ETF行情,ETF-场内,---,---,---,---,---,---,---,---
516,515530,泰康中证500ETF行情,ETF-场内,---,---,---,---,---,---,---,---
517,588000,华夏上证科创板50成份ETF行情,ETF-场内,---,---,---,---,---,---,---,---
518,150175,银华恒生国企指数分级A行情,固定收益,---,---,1.0444,---,---,---,---,---
519,150205,鹏华中证国防指数分级A行情,固定收益,---,---,1.0400,1.2820,---,---,---,---
520,159822,银华工银南方东英标普中国新经济ETF(QDII)行情,QDII-ETF,---,---,---,---,---,---,---,---
521,159821,中银证券创业板ETF行情,ETF-场内,---,---,1.0000,1.0000,---,---,---,---
522,150321,富国中证煤炭指数分级A行情,固定收益,---,---,1.0570,1.3490,---,---,---,---
523,511000,招商中债-0-3年长三角地方债ETF行情,ETF-场内,---,---,---,---,---,---,---,---
524,588080,易方达上证科创板50成份ETF行情,ETF-场内,---,---,---,---,---,---,---,---
525,510370,兴业沪深300ETF行情,ETF-场内,---,---,---,---,---,---,---,---
